NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
177,새엄마4 무삭제,최찬호,(주)영화사가을,,(주)영화사가을,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
178,샤먼 로드,최상진,강 컨텐츠,,강 컨텐츠,2021-07-,개봉영화,장편,한국,5.0,,1.0,0.0,0.0,다큐멘터리,12세이상관람가,독립/예술영화
179,성욕에 눈뜬 아내 무삭제판,아나콘다 아나키,,,(주)라온컴퍼니플러스,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
180,성욕터진 유부녀 무삭제판,아나콘다 아나키,,,(주)라온컴퍼니플러스,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
181,섹스 도우미,김동해,라이어 시네마,,케이엘 픽쳐스,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
182,섹탐부인,김레이,P&미디어,,P&미디어,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
183,시아버지 유혹한 스타킹,,,,(주)픽쳐레스크,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
184,"식물카페, 온정",최창환,매치컷(주),,매치컷(주),2021-06-,개봉영화,장편,한국,19.0,,1.0,0.0,0.0,기타,전체관람가,독립/예술영화
185,싸버린 관리인 무삭제판,아나콘다 아나키,,,(주)라온컴퍼니플러스,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
186,아내보다 잘 해주는 장모,아카바네 키쿠지로,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
187,아내의 여자,정승호,(주)제이엠로드,,(주)제이엠로드,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
188,아내의 이중생활 무삭제,최찬호,(주)영화사가을,,(주)영화사가을,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
189,아내의젊은새엄마-무삭제,신민철,스마일컨텐츠,,스마일컨텐츠,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
190,아는사이 무삭제판,에로핑,비스킷미디어,,(주)메이크아트,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
191,야한 이야기:질펀한 손맛,히이라기 엔부,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
192,어린 새엄마:오늘밤 둘이서,히이라기 엔부,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
193,어플 만남:커서 다행이야,버드맨 텟페이,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
194,여대생:누드수업,버드맨 텟페이,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
195,여대생들 : 스폰을 찾아서,신승엽,(주)영화사가을,,(주)영화사가을,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
196,영희와 만수의 음란스케치,정지승,(주)코빈커뮤니케이션즈,,(주)코빈커뮤니케이션즈,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
197,예쁜 형수:흥건해진 날,버드맨 텟페이,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
198,워스,사라 코랑겔로,,미디어소프트,(주)홈초이스,2021-07-,개봉영화,장편,미국,65.0,,1.0,,1.0,드라마,12세이상관람가,독립/예술영화
199,유부녀들 : 스와핑의 맛,김환,(주)영화사가을,,(주)영화사가을,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,드라마,청소년관람불가,일반영화
200,윤율의 사내불륜,Mr.나,(주)픽쳐레스크,,(주)픽쳐레스크,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
201,잘 세우는 며느리,사쿠라비토,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
202,젖 큰 자매들,김모리,"영화사 레드카펫,주식회사 루믹스미디어",,주식회사 루믹스미디어,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
203,질펀한 면접기:한 번 봅시다,타나카 스나오,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
204,처남의 여자친구 무삭제,한대위,(주)영화사가을,,(주)영화사가을,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
205,첫경험의 날,정승호,(주)제이엠로드,,(주)제이엠로드,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
206,친구엄마 사용설명서,,,,(주)라온컴퍼니플러스,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
207,하타노 유이와 자매들의 몸 알바,쿠도 타이요,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
208,헬 아미,,,,(주)알이디아이스엔터,2021-09-,개봉영화,장편,미국,1.0,,1.0,0.0,0.0,판타지,15세이상관람가,일반영화
209,형수 잔뜩 흥분한 날,버드맨 텟페이,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
210,형수는 내 여자:젖은 형수,사쿠라비토,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
211,훔쳐보는 장모님,버드맨 텟페이,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
212,흩어진 밤,"이지형,김솔","(주)타이거시네마,DGC",,영화배급협동조합 씨네소파,2021-06-,개봉영화,장편,한국,49.0,,1.0,0.0,0.0,드라마,전체관람가,독립/예술영화
213,11번가청순글래머오피스걸-무삭제,이희성,스마일컨텐츠,,스마일컨텐츠,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
214,69번가육덕진가정교사,이희성,스마일컨텐츠,,스마일컨텐츠,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
215,S누나,이상영,블루커뮤니케이션,,(주)코빈커뮤니케이션즈,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
1,베놈 2: 렛 데어 비 카니지,앤디 서키스,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-10-,개봉영화,장편,미국,,,,,,액션,15세이상관람가,일반영화
2,007 노 타임 투 다이,캐리 후쿠나가,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-09-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
3,듄,드니 빌뇌브,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-10-,개봉영화,장편,미국,,,,,,SF,12세이상관람가,일반영화
4,보이스,"김선,김곡",(주)수필름,,(주)씨제이이엔엠,2021-09-,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
5,기적,이장훈,(주)블러썸픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2021-09-,개봉영화,장편,한국,,,,,,드라마,12세이상관람가,일반영화
